"Géographie";"Niveau Géo";"Mesure démographie entreprises et établissements";"Activité économique";"Forme légale";"Fréquence";Période;Valeur
"Nozay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;10
"Massy";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;115
"Chilly-Mazarin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Total";"Annuel";2013;5
"Palaiseau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;71
"Igny";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;24
"Bures-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Total";"Annuel";2013;3
"Bures-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;15
"Nozay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Total";"Annuel";2013;2
"Nozay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;6
"Chilly-Mazarin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;140
"Palaiseau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;19
"Linas";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;11
"Gometz-le-Châtel";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;3
"Gif-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;23
"Villebon-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;6
"Saulx-les-Chartreux";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Total";"Annuel";2013;1
"La Ville-du-Bois";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;11
"Verrières-le-Buisson";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;9
"Nozay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Total";"Annuel";2013;1
"Gometz-le-Châtel";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;1
"Igny";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;7
"Épinay-sur-Orge";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;4
"Saint-Aubin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;4
"Nozay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;4
"Longjumeau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;39
"Bures-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;2
"Longjumeau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;15
"Montlhéry";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;6
"Massy";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;37
"Champlan";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Total";"Annuel";2013;2
"Igny";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Total";"Annuel";2013;1
"Chilly-Mazarin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;21
"Montlhéry";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Total";"Annuel";2013;2
"Igny";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;6
"Marcoussis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;8
"Nozay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;3
"Villejust";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Total";"Annuel";2013;3
"Montlhéry";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;17
"Igny";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;11
"Massy";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Total";"Annuel";2013;3
"Marcoussis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;51
"Marcoussis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;13
"Igny";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;12
"Chilly-Mazarin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;20
"Champlan";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;1
"La Ville-du-Bois";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Total";"Annuel";2013;3
"Saclay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;5
"Villebon-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;79
"Palaiseau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Total";"Annuel";2013;2
"Épinay-sur-Orge";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Total";"Annuel";2013;2
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;54
"Verrières-le-Buisson";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;136
"Linas";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;2
"Champlan";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;5
"Orsay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;25
"Verrières-le-Buisson";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;41
"Nozay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Total";"Annuel";2013;1
"Longjumeau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;10
"Marcoussis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;8
"Longjumeau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Total";"Annuel";2013;4
"Bures-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;11
"Verrières-le-Buisson";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;13
"Massy";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;370
"Gif-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;15
"La Ville-du-Bois";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;3
"Chilly-Mazarin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;37
"Champlan";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;7
"Saulx-les-Chartreux";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;9
"Orsay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;17
"Saulx-les-Chartreux";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Total";"Annuel";2013;2
"Gometz-le-Châtel";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;4
"Épinay-sur-Orge";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;9
"Champlan";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Total";"Annuel";2013;3
"Saulx-les-Chartreux";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;5
"Nozay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;5
"La Ville-du-Bois";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;8
"Marcoussis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;2
"Gif-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;53
"Épinay-sur-Orge";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;7
"Verrières-le-Buisson";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Total";"Annuel";2013;3
"Bures-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;14
"Igny";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Total";"Annuel";2013;1
"Villebon-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;20
"Nozay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;37
"Massy";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Total";"Annuel";2013;8
"Chilly-Mazarin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;32
"La Ville-du-Bois";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;8
"Montlhéry";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;81
"Vauhallan";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;2
"Montlhéry";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;19
"Gometz-le-Châtel";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;16
"Villebon-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;26
"Longjumeau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;16
"Montlhéry";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Total";"Annuel";2013;2
"Massy";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Total";"Annuel";2013;8
"Verrières-le-Buisson";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;29
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;34
"La Ville-du-Bois";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Total";"Annuel";2013;1
"Linas";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;23
"Longjumeau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Total";"Annuel";2013;2
"Montlhéry";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;9
"Massy";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;48
"Longjumeau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;60
"Marcoussis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;8
"Épinay-sur-Orge";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;21
"Orsay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Total";"Annuel";2013;5
"Linas";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;85
"Igny";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;76
"Igny";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;14
"Gif-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Total";"Annuel";2013;1
"Palaiseau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;42
"Massy";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;36
"Saclay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;17
"Épinay-sur-Orge";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;10
"Palaiseau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;16
"Massy";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;49
"Vauhallan";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;1
"Saulx-les-Chartreux";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Total";"Annuel";2013;8
"Villebon-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Total";"Annuel";2013;4
"Saulx-les-Chartreux";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Total";"Annuel";2013;1
"Saclay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;3
"Saulx-les-Chartreux";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;3
"Villiers-le-Bâcle";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;1
"Orsay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;45
"Champlan";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;11
"La Ville-du-Bois";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Total";"Annuel";2013;1
"Gometz-le-Châtel";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;3
"Massy";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Total";"Annuel";2013;66
"Champlan";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;4
"Longjumeau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;167
"Orsay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;150
"Orsay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Total";"Annuel";2013;3
"Villebon-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;4
"Gometz-le-Châtel";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;2
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Total";"Annuel";2013;4
"Villejust";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;7
"Épinay-sur-Orge";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Total";"Annuel";2013;3
"Palaiseau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Total";"Total";"Annuel";2013;264
"Orsay";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;21
"Linas";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Total";"Annuel";2013;1
"Gif-sur-Yvette";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Total";"Annuel";2013;1
"Marcoussis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Total";"Annuel";2013;5
"Saint-Aubin";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Total";"Annuel";2013;3
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Société à responsabilité limitée (SARL)";"Annuel";2013;36
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Société à responsabilité limitée (SARL)";"Annuel";2013;23
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Société par actions simplifiée";"Annuel";2013;9
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Société par actions simplifiée";"Annuel";2013;83
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Société par actions simplifiée";"Annuel";2013;8
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Autres sociétés";"Annuel";2013;5
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de nouvelles unités légales enregistrées";"Total";"Société par actions simplifiée";"Annuel";2013;296
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Total";"Annuel";2013;638
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Autres sociétés";"Annuel";2013;3
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Société par actions simplifiée";"Annuel";2013;26
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Annuel";2013;276
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Total";"Annuel";2013;42
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Société par actions simplifiée";"Annuel";2013;1
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Société par actions simplifiée";"Annuel";2013;1
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Société à responsabilité limitée (SARL)";"Annuel";2013;2
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Société à responsabilité limitée (SARL)";"Annuel";2013;1
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Entrepreneur individuel";"Annuel";2013;1
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Entrepreneur individuel";"Annuel";2013;2
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Entrepreneur individuel";"Annuel";2013;2
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Entrepreneur individuel";"Annuel";2013;2
"Ballainvilliers";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Entrepreneur individuel";"Annuel";2013;4
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Autres sociétés";"Annuel";2013;1
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Société par actions simplifiée";"Annuel";2013;5
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Société par actions simplifiée";"Annuel";2013;4
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Société par actions simplifiée";"Annuel";2013;4
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Société par actions simplifiée";"Annuel";2013;3
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Société par actions simplifiée";"Annuel";2013;2
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Société à responsabilité limitée (SARL)";"Annuel";2013;2
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Société à responsabilité limitée (SARL)";"Annuel";2013;1
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Société à responsabilité limitée (SARL)";"Annuel";2013;9
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Société à responsabilité limitée (SARL)";"Annuel";2013;1
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Société à responsabilité limitée (SARL)";"Annuel";2013;1
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Société à responsabilité limitée (SARL)";"Annuel";2013;11
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Société à responsabilité limitée (SARL)";"Annuel";2013;8
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Société à responsabilité limitée (SARL)";"Annuel";2013;3
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Entrepreneur individuel";"Annuel";2013;16
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Entrepreneur individuel";"Annuel";2013;11
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Entrepreneur individuel";"Annuel";2013;20
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Entrepreneur individuel";"Annuel";2013;3
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Entrepreneur individuel";"Annuel";2013;38
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Entrepreneur individuel";"Annuel";2013;16
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Entrepreneur individuel";"Annuel";2013;5
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Société par actions simplifiée";"Annuel";2013;1
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Société par actions simplifiée";"Annuel";2013;3
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Société par actions simplifiée";"Annuel";2013;1
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Société par actions simplifiée";"Annuel";2013;2
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Société par actions simplifiée";"Annuel";2013;1
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Société à responsabilité limitée (SARL)";"Annuel";2013;3
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Société à responsabilité limitée (SARL)";"Annuel";2013;1
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Entrepreneur individuel";"Annuel";2013;7
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Entrepreneur individuel";"Annuel";2013;3
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Entrepreneur individuel";"Annuel";2013;7
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités financières et d'assurance";"Entrepreneur individuel";"Annuel";2013;1
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Entrepreneur individuel";"Annuel";2013;4
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Entrepreneur individuel";"Annuel";2013;2
