"Géographie";"Niveau Géo";"Tranche d'âge du référent fiscal";"Mesures filosofi";"Unité de mesure";"Quantité d'unités (en puissance de 10)";"Statut de confidentialité";"Statut de l'observation";Période;Valeur
"Orsay";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;22310
"Verrières-le-Buisson";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;6
"Villiers-le-Bâcle";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Verrières-le-Buisson";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Saulx-les-Chartreux";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"La Ville-du-Bois";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27010
"Verrières-le-Buisson";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;39390
"Gometz-le-Châtel";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Nozay";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villejust";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;28010
"Montlhéry";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;26470
"Longjumeau";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;16
"Orsay";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;36840
"Linas";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Orsay";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;36360
"Saulx-les-Chartreux";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;9
"Bures-sur-Yvette";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Vauhallan";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Massy";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;14
"Villiers-le-Bâcle";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villejust";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30300
"Vauhallan";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Orsay";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;22
"Palaiseau";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30390
"Villiers-le-Bâcle";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;34170
"Vauhallan";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Nozay";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Longjumeau";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;22240
"Longjumeau";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23320
"Palaiseau";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30480
"Longjumeau";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;21440
"Ballainvilliers";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Champlan";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25250
"Chilly-Mazarin";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;17
"Orsay";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;9
"Palaiseau";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;7
"Villiers-le-Bâcle";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Les Ulis";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;23
"Ballainvilliers";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27080
"Les Ulis";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;18410
"Saclay";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;38450
"Gif-sur-Yvette";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Les Ulis";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;23
"Massy";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;24840
"Marcoussis";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Montlhéry";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29200
"Villejust";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Champlan";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"La Ville-du-Bois";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30620
"Igny";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;10
"Gif-sur-Yvette";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23420
"Longjumeau";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25370
"Wissous";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Marcoussis";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Gif-sur-Yvette";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;40180
"Épinay-sur-Orge";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30980
"Champlan";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25900
"Montlhéry";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;15
"Vauhallan";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Gometz-le-Châtel";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Longjumeau";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;19
"Igny";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;7
"Chilly-Mazarin";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23470
"Ballainvilliers";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Bures-sur-Yvette";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29500
"Verrières-le-Buisson";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;9
"Marcoussis";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;28880
"Wissous";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Les Ulis";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;19970
"Saulx-les-Chartreux";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;24110
"Chilly-Mazarin";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27060
"Linas";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;28440
"Saulx-les-Chartreux";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27720
"Saint-Aubin";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Bures-sur-Yvette";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;22430
"Massy";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;24560
"Gometz-le-Châtel";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30690
"Longjumeau";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;22
"Saulx-les-Chartreux";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27130
"Palaiseau";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;12
"Champlan";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Saulx-les-Chartreux";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Massy";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;12
"Saint-Aubin";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Wissous";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Linas";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;26350
"Nozay";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"La Ville-du-Bois";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27390
"Verrières-le-Buisson";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;35300
"Longjumeau";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;11
"Orsay";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;33200
"Épinay-sur-Orge";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;28730
"Saclay";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;33960
"Épinay-sur-Orge";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Les Ulis";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;19220
"Bures-sur-Yvette";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"La Ville-du-Bois";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29130
"Épinay-sur-Orge";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;12
"Verrières-le-Buisson";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;40680
"Ballainvilliers";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;32270
"Gif-sur-Yvette";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Champlan";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Linas";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Marcoussis";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23020
"Saclay";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villebon-sur-Yvette";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villebon-sur-Yvette";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Saulx-les-Chartreux";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30090
"Vauhallan";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Igny";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;8
"Linas";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;28620
"Igny";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;31490
"La Ville-du-Bois";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27070
"Saulx-les-Chartreux";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"La Ville-du-Bois";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Montlhéry";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;26800
"Marcoussis";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;26230
"Massy";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;20
"Palaiseau";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Épinay-sur-Orge";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30500
"Villebon-sur-Yvette";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Champlan";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;26910
"Bures-sur-Yvette";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Igny";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;31760
"Chilly-Mazarin";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;21
"Vauhallan";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;37410
"Saclay";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Gometz-le-Châtel";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Vauhallan";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Marcoussis";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;32200
"Bures-sur-Yvette";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;33510
"Nozay";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29850
"Saclay";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;33030
"Villejust";"Commune";"75 ans ou plus";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Villebon-sur-Yvette";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;32210
"Orsay";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;5
"Villejust";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Ballainvilliers";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;22440
"Gif-sur-Yvette";"Commune";"De 30 à 39 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;7
"Ballainvilliers";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29750
"Nozay";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Saulx-les-Chartreux";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25800
"Villejust";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;31220
"Longjumeau";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Les Ulis";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;17
"Marcoussis";"Commune";"De 60 à 74 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Longjumeau";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;25770
"Saint-Aubin";"Commune";"De 50 à 59 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Épinay-sur-Orge";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;27750
"Saulx-les-Chartreux";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;28050
"Chilly-Mazarin";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;21400
"Palaiseau";"Commune";"De 40 à 49 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;12
"Gif-sur-Yvette";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29830
"Épinay-sur-Orge";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;30390
"Saint-Aubin";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Saclay";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;6
"Villebon-sur-Yvette";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;28270
"Wissous";"Commune";"De 50 à 59 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;32830
"Chilly-Mazarin";"Commune";"Total";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23140
"Palaiseau";"Commune";"De 60 à 74 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;31660
"Orsay";"Commune";"De 30 à 39 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;29410
"Ballainvilliers";"Commune";"Total";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Diffusable";"Normale";2021;7
"Orsay";"Commune";"De 40 à 49 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;33480
"Palaiseau";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;23160
"Villiers-le-Bâcle";"Commune";"Moins de 30 ans";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Nozay";"Commune";"75 ans ou plus";"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Pourcentage";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Saclay";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Confidentiel (secret statistique)";"Normale";2021;
"Igny";"Commune";"Moins de 30 ans";"Niveau de vie médian (en euros)";"Euros par an";"Unités";"Diffusable";"Normale";2021;22050
