"Géographie";"Niveau Géo";"Fréquence";"Mesure du recensement ";"Catégorie de logement";"Lien à la personne de référence du ménage ";"Type de ménage et nombre d'enfants";"Profession et catégorie socioprofessionnelle (PCS)";Période;Valeur
"Marcoussis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;36
"Igny";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;146,727049
"Palaiseau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;3723,370976
"La Ville-du-Bois";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;1200
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;184
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;1554,129239
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;143,947393
"Villiers-le-Bâcle";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;224
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;103,404864
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;378,639302
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;601,964503
"Palaiseau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;9515,031462
"Saulx-les-Chartreux";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;697,770047
"Nozay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;401,726055
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;692,017167
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;1566,142453
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;4237,691948
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;533,413735
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;257,148818
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;4,044865
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;495,368587
"Palaiseau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;3358,535299
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;1994,648905
"Vauhallan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;72,807571
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;102,278411
"Saulx-les-Chartreux";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;471,258373
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;15244,998131
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;1374,727658
"Saulx-les-Chartreux";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;247,602894
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;2960,472257
"Linas";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;5620,881205
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;84,187098
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2011;3519,4723
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;24036,999704
"Igny";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;10455,079452
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;1621,302214
"Palaiseau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2011;6434,323438
"Linas";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;253,31023
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;4,008909
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;834,963242
"Nozay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;49,407628
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;453,1345
"Massy";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;4977,851694
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;541,575829
"Saulx-les-Chartreux";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;454,61515
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;5905,252786
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;176,287837
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;2204,667963
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;1959,251855
"Igny";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;859,429501
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;306,133212
"Vauhallan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;275,050824
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;172
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;43,748212
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;322,145923
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;3,79759
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;21226,000758
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;4,115996
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;613,83838
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;424
"Palaiseau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;1047,736841
"Nozay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;350,986144
"Palaiseau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;3237,550218
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;87,126054
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;208,293878
"Palaiseau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;14849,691954
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;4353,858175
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;3385,766691
"Wissous";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;6070,938565
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;225,77361
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;249,590244
"Vauhallan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;1721,090081
"La Ville-du-Bois";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;1548
"Linas";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;3870,002754
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;4
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;1215,84753
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;11,93133
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;6941,994915
"Massy";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;10929,937091
"La Ville-du-Bois";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;6352
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;1,035152
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;3060,776142
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;4310,067896
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;216,471344
"Igny";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;5969,280339
"Marcoussis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;608
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;2357,420345
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;714,726232
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;2265,014307
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2011;3462,468857
"Massy";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2011;8223,355675
"Linas";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;486,262972
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;68,151461
"Palaiseau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;5468,652924
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;5214,57418
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;1077,733802
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;1393,227803
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;31,816881
"Nozay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;525,621157
"Nozay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;1738,287963
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;32,35892
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;296
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;529,176047
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;24,76865
"Villiers-le-Bâcle";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;740
"Villiers-le-Bâcle";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;140
"Villebon-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;130,433676
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;440,520465
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;717,744551
"Villiers-le-Bâcle";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;8
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;15,908441
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;10680,626354
"Wissous";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;429,781259
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;217,581398
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;762,533624
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;47,725322
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;245,323319
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;1171,335652
"Vauhallan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;101,121626
"Massy";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;41737,463289
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;16
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;217,950722
"Wissous";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;1639,887949
"Wissous";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;709,363562
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;84,942166
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;3403,798678
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;64,397518
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;576,376271
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;11,93133
"Villebon-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;359,680743
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;488,663518
"Nozay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;429,97873
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;310,539034
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;1697,324197
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;152
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;80,178189
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;379,759022
"Saulx-les-Chartreux";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;5044,530825
"La Ville-du-Bois";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;1720
"La Ville-du-Bois";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;560
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;2064,723043
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;664,578288
"Massy";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;7993,606525
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;133,500269
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;19,885551
"Villebon-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;1794,45118
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;413,727333
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;2123,301511
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;36
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;1237,655725
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;128,285102
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;3584,925164
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;1167,242085
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;4,714299
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;27,839771
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;90,914143
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;736
"Massy";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;3414,667767
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;697,008428
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;4,018643
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;256
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;447,858462
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;56,124732
"Wissous";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;5203,817012
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;12860,327579
"Marcoussis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;596
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;528
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;312,991097
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;13464,421682
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;2169,817534
"Igny";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;9166,28329
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;1083,528032
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2011;424,92487
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;7540,682411
"Linas";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;434,626284
"Villebon-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;39,525356
"Saulx-les-Chartreux";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;530,392868
"Vauhallan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;1923,333333
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;222,467578
"Wissous";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2011;1311,699677
"La Ville-du-Bois";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;576
"Linas";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;282,378617
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2011;4183,214038
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;747,065836
"Marcoussis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2011;672
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;214,433996
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;416,926583
"Marcoussis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2011;4580
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;6,506579
"Igny";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2011;688,665281
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;784,366104
"Marcoussis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;148
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;4402,746538
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;9,235013
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;7,59518
"Marcoussis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;580
"Vauhallan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;44,493516
"Villiers-le-Bâcle";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2011;1248
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;20632,864332
"Vauhallan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2011;105,166491
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;608,497854
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2011;12143,682742
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2011;11,857607
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2011;6305,102768
"La Ville-du-Bois";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2011;104
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2011;2671,658764
"Villebon-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2011;577,070203
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2011;140,396556
