"Géographie";"Niveau Géo";"Âge";"Sexe";"Diplôme";"Indicateur du lieu d’étude";"Mesure du recensement ";"Fréquence";"Statut de l'observation";Période;Valeur
"Montlhéry";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;423,5326
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;237,08627
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;136,78054
"Igny";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;1002,16367
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;105,37168
"Marcoussis";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;297
"Massy";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;2347,66509
"Massy";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;2754,46998
"Villejust";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;117,2606
"Longjumeau";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;970,62301
"Longjumeau";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;2364,61633
"Saulx-les-Chartreux";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;363,8464
"Orsay";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;1359,8082
"Bures-sur-Yvette";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;1527,04374
"Bures-sur-Yvette";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;1217,24464
"Vauhallan";"Commune";"15 ans ou plus";"Femme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;50,59261
"Chilly-Mazarin";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1890,02244
"Chilly-Mazarin";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;295,42778
"Chilly-Mazarin";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1139,86001
"Wissous";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;719,21594
"Montlhéry";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;398,05079
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;318,14141
"Saclay";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;54,92729
"Saint-Aubin";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;29,82833
"La Ville-du-Bois";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;2457
"Massy";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;29766,59128
"Longjumeau";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;400,0322
"Saulx-les-Chartreux";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;541,22173
"Saulx-les-Chartreux";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;304,2139
"Champlan";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;180,05831
"Les Ulis";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;1025,12303
"Les Ulis";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1891,22729
"Palaiseau";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;1561,59876
"Villiers-le-Bâcle";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;846
"Villebon-sur-Yvette";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;640,31077
"Vauhallan";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;122,35041
"Vauhallan";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;55,06022
"Chilly-Mazarin";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;1286,36525
"Nozay";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;73,02486
"Épinay-sur-Orge";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;736,82845
"Igny";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;1840,84815
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;538,00346
"Linas";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;291,26531
"Champlan";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;69,10346
"Champlan";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;43,79797
"Épinay-sur-Orge";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;7573,71777
"Montlhéry";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;755,27749
"Saint-Aubin";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;105,39342
"Igny";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;3741,47771
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;110,39753
"Wissous";"Commune";"15 ans ou plus";"Femme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;268,1839
"Longjumeau";"Commune";"15 ans ou plus";"Femme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;646,47537
"Longjumeau";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;2377,00105
"Orsay";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;604,0942
"Orsay";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;927,51631
"Palaiseau";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1081,17043
"Vauhallan";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;98,08798
"Vauhallan";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;55,35578
"La Ville-du-Bois";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;377
"Villiers-le-Bâcle";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;20
"Villejust";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;186,41429
"Ballainvilliers";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;520
"Bures-sur-Yvette";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;92,97195
"Épinay-sur-Orge";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;683,93359
"Saint-Aubin";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;16,90272
"Marcoussis";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;887
"Massy";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;4416,57403
"Marcoussis";"Commune";"15 ans ou plus";"Total";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;1095
"Les Ulis";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;16101,47896
"Les Ulis";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;3125,97026
"Marcoussis";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;358
"Verrières-le-Buisson";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;1224,51135
"Ballainvilliers";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;197
"Gif-sur-Yvette";"Commune";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;869,58184
"Igny";"Commune";"15 ans ou plus";"Femme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;386,64732
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;181,36087
"Igny";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;215,62419
"Chilly-Mazarin";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;949,15545
"Chilly-Mazarin";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;753,08813
"Chilly-Mazarin";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;2445,05033
"Nozay";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;84,37975
"Les Ulis";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;899,8906
"Ballainvilliers";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;2553
"Ballainvilliers";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;201
"Ballainvilliers";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;295
"Bures-sur-Yvette";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;425,42182
"Bures-sur-Yvette";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;504,70036
"Bures-sur-Yvette";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;414,00197
"Vauhallan";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;210,35802
"Vauhallan";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;230,54609
"Marcoussis";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;1145
"Épinay-sur-Orge";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;672,06853
"Chilly-Mazarin";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;970,32355
"Champlan";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;255,0015
"Champlan";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;142,18021
"Ballainvilliers";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;1222
"Linas";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;315,57601
"Saulx-les-Chartreux";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;206,09861
"Marcoussis";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;2681
"Massy";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;1745,55563
"Marcoussis";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;412
"Wissous";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;282,51185
"Gif-sur-Yvette";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;836,59257
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;96,25297
"Ballainvilliers";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;144
"Nozay";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;68,7742
"Longjumeau";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1373,65965
"Wissous";"Commune";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;95,92947
"Les Ulis";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;363,82355
"Vauhallan";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;111,23379
"Verrières-le-Buisson";"Commune";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;223,71533
"Saint-Aubin";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;106,3877
"Les Ulis";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;1817,51891
"Les Ulis";"Commune";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;3708,7462
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;57,75178
"Gif-sur-Yvette";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;13672,44121
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;300,91719
"Igny";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;3476,04363
"Nozay";"Commune";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;1561,78251
"Villejust";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;101,22496
"Villejust";"Commune";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;396,88204
"Villejust";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;85,18933
"Montlhéry";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;515,57351
"Nozay";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;172,26262
"Nozay";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;258,3842
"Gif-sur-Yvette";"Commune";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;2213,71813
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;254,29712
"Gif-sur-Yvette";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;664,81465
"Villebon-sur-Yvette";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;6990,29486
"Villiers-le-Bâcle";"Commune";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;153
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;121,5827
"Villiers-le-Bâcle";"Commune";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;36
"Gometz-le-Châtel";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;97,23943
"Igny";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;507,70173
"Villejust";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;107,23833
"Villiers-le-Bâcle";"Commune";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;86
"Igny";"Commune";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;602,27151
"Igny";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;838,68448
"Igny";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;590,02189
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Femme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;104691,34925
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Homme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;4751,92629
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;97227,93245
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Total";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;26088,66529
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Total";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;33399,60723
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;28193,35629
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Total";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;12538,95223
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;13460,18378
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Homme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;15052,36114
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;18347,24609
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Femme";"CEP (certificat d’études primaires)";"Hors champ";"Population";"Annuel";"Normale";2011;7787,02593
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Homme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;4521,14544
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;6997,85459
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Femme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;18788,18982
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Total";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;34893,34924
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;16270,24027
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;18623,10896
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Total";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;32245,74265
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;13457,55282
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Total";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;11519,00003
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;23040,60876
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;12628,4815
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;201919,2817
