"Géographie";"Niveau Géo";"Âge";"Indicateur de résidence antérieure ";"Mesure du recensement ";"Fréquence";Période;Valeur
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;6032,283716
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;5357,717335
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;8044,352898
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;7966,340697
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2011;1096,277823
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;15734,506001
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;260655,091876
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2011;3815,035593
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2011;4105,086509
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2011;11629,419492
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2011;4261,439512
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;7244,00586
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2011;2217,248123
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"Dans une autre commune";"Population";"Annuel";2011;20895,452918
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Total";"Population";"Annuel";2011;289594,897692
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;189,619461
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"Autre logement dans la même commune";"Population";"Annuel";2011;8044,352898
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;625,740444
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"55 ans ou plus";"Total";"Population";"Annuel";2011;1815,298765
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;1705,599326
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;3789,887575
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2011;1189,558321
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"Total";"Population";"Annuel";2011;28939,805817
"Saint-Aubin";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;8,948498
"Saclay";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;55,874317
"Longjumeau";"Commune";"Total";"Total";"Population";"Annuel";2011;1947,669849
"Marcoussis";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;430
"Ballainvilliers";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;186
"Villejust";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;88,196008
"Massy";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;979,099215
"Linas";"Commune";"Total";"Total";"Population";"Annuel";2011;850,97858
"Palaiseau";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;493,731856
"Orsay";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;673,371806
"Orsay";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;270,000972
"Champlan";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;12,732882
"Nozay";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;50,023144
"Épinay-sur-Orge";"Commune";"Total";"Total";"Population";"Annuel";2011;937,417692
"Gometz-le-Châtel";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;57,751784
"Ballainvilliers";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;84
"Verrières-le-Buisson";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;188,766936
"Longjumeau";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;361,619714
"Gif-sur-Yvette";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;999,125852
"La Ville-du-Bois";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;37
"Épinay-sur-Orge";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;169,518721
"Montlhéry";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;70,858464
"Ballainvilliers";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;50
"Orsay";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;66,694325
"Montlhéry";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;177,689272
"Massy";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;755,050169
"Gometz-le-Châtel";"Commune";"Total";"Total";"Population";"Annuel";2011;335,338896
"Villejust";"Commune";"Total";"Total";"Population";"Annuel";2011;192,427654
"Palaiseau";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;536,895159
"Chilly-Mazarin";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;1175,663221
"Saclay";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;286,947763
"Vauhallan";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;31,347704
"Gif-sur-Yvette";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;386,692207
"Nozay";"Commune";"Total";"Total";"Population";"Annuel";2011;427,864079
"Gif-sur-Yvette";"Commune";"Total";"Total";"Population";"Annuel";2011;1776,11296
"Longjumeau";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;1017,589336
"Épinay-sur-Orge";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;111,557621
"Marcoussis";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;203
"Chilly-Mazarin";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;61,814093
"Ballainvilliers";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;52
"Massy";"Commune";"Total";"Total";"Population";"Annuel";2011;4663,505008
"Chilly-Mazarin";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;279,158204
"Épinay-sur-Orge";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;108,468059
"Bures-sur-Yvette";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;208,806765
"Verrières-le-Buisson";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;281,55178
"Gometz-le-Châtel";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;77,002379
"Verrières-le-Buisson";"Commune";"Total";"Total";"Population";"Annuel";2011;1219,412168
"Saclay";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;170,464018
"Saint-Aubin";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;4,971388
"Linas";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;434,661606
"Nozay";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;102,383804
"Chilly-Mazarin";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;528,408539
"Orsay";"Commune";"Total";"Total";"Population";"Annuel";2011;1833,784709
"Saint-Aubin";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;20,879828
"Marcoussis";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;119
"Massy";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;2669,979331
"Saulx-les-Chartreux";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;55,32406
"Igny";"Commune";"Total";"Total";"Population";"Annuel";2011;873,457784
"Villejust";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;26,057911
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Population";"Annuel";2011;1182,43645
"Villebon-sur-Yvette";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;667,251139
"Longjumeau";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;414,834074
"Marcoussis";"Commune";"Total";"Total";"Population";"Annuel";2011;814
"Champlan";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;121,794582
"Linas";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;42,758315
"Longjumeau";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;153,626725
"Saclay";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;26,170593
"Saulx-les-Chartreux";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;24,253989
"Igny";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;190,125758
"La Ville-du-Bois";"Commune";"Total";"Total";"Population";"Annuel";2011;758
"Vauhallan";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;20,224325
"Nozay";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;18,160062
"Saint-Aubin";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;3,97711
"Champlan";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;54,504138
"Saclay";"Commune";"Total";"Total";"Population";"Annuel";2011;539,456691
"Champlan";"Commune";"Total";"Total";"Population";"Annuel";2011;231,882995
"Montlhéry";"Commune";"Total";"Total";"Population";"Annuel";2011;858,263538
"Palaiseau";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;1555,823182
"Bures-sur-Yvette";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;37,208997
"Vauhallan";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;80,897301
"Bures-sur-Yvette";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;191,213915
"Villejust";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;48,106913
"Vauhallan";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;9,480679
"Bures-sur-Yvette";"Commune";"Total";"Total";"Population";"Annuel";2011;938,762357
"Palaiseau";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;118,644554
"Igny";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;191,84215
"La Ville-du-Bois";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;138
"Villebon-sur-Yvette";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;70,32344
"Villebon-sur-Yvette";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;198,638743
"Gometz-le-Châtel";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;180,347677
"Igny";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;457,019782
"Bures-sur-Yvette";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;501,53268
"Villebon-sur-Yvette";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;246,223128
"Villejust";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;30,066821
"Chilly-Mazarin";"Commune";"Total";"Total";"Population";"Annuel";2011;2045,044056
"Saulx-les-Chartreux";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;211,079273
"Saulx-les-Chartreux";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;97,027381
"Linas";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;219,150341
"Montlhéry";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;165,195174
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Population";"Annuel";2011;387,684702
"Saint-Aubin";"Commune";"Total";"Total";"Population";"Annuel";2011;38,776824
"Ballainvilliers";"Commune";"Total";"Total";"Population";"Annuel";2011;372
"Verrières-le-Buisson";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;166,188038
"Palaiseau";"Commune";"Total";"Total";"Population";"Annuel";2011;2705,094751
"Vauhallan";"Commune";"Total";"Total";"Population";"Annuel";2011;141,950009
"Champlan";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;42,851392
"La Ville-du-Bois";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;174
"La Ville-du-Bois";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;409
"Épinay-sur-Orge";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;547,873291
"Montlhéry";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;444,520628
"Linas";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;154,408317
"Nozay";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;257,297069
"Orsay";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;823,717606
"Verrières-le-Buisson";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;582,905414
"Massy";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;259,376293
"Gif-sur-Yvette";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;252,667716
"Marcoussis";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;62
"Gometz-le-Châtel";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;20,237056
"Igny";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;34,470093
"Gif-sur-Yvette";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;137,627186
"Wissous";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;39,08166
"Villiers-le-Bâcle";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;9
"Wissous";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;68,495233
"Les Ulis";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;293,033044
"Les Ulis";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;1200,142724
"Wissous";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;284,260707
"Villiers-le-Bâcle";"Commune";"De 15 à 24 ans";"Total";"Population";"Annuel";2011;28
"Wissous";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;100,42806
"Les Ulis";"Commune";"Total";"Total";"Population";"Annuel";2011;2189,218404
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Population";"Annuel";2011;187
"Villiers-le-Bâcle";"Commune";"De 25 à 54 ans";"Total";"Population";"Annuel";2011;100
"Villiers-le-Bâcle";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;50
"Les Ulis";"Commune";"De 1 à 14 ans";"Total";"Population";"Annuel";2011;575,617132
"Les Ulis";"Commune";"55 ans ou plus";"Total";"Population";"Annuel";2011;120,425504
"Wissous";"Commune";"Total";"Total";"Population";"Annuel";2011;492,265661
"Champlan";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;9,732882
"Les Ulis";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;108,343898
"Villiers-le-Bâcle";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;52
"Gometz-le-Châtel";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;5,065946
"Verrières-le-Buisson";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;49,527159
"Saulx-les-Chartreux";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;55,388191
"Verrières-le-Buisson";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;210,004615
"Villejust";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;27,060139
"Linas";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;5575,113431
"Champlan";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;51,584274
"Ballainvilliers";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;3360
"Palaiseau";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;775,911075
"Saclay";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;267,307293
"Villejust";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;87,193781
"Chilly-Mazarin";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;707,839143
"Épinay-sur-Orge";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;11,59908
"La Ville-du-Bois";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;1
"Longjumeau";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;39,436839
"Villebon-sur-Yvette";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;8422,212937
"Les Ulis";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;32,414708
"Orsay";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;256,057664
"Igny";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;9515,09837
"Épinay-sur-Orge";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;99,491253
"Champlan";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;1,946576
"Chilly-Mazarin";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;93,834546
"Saint-Aubin";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;9,942775
"Villiers-le-Bâcle";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;1028
"Gometz-le-Châtel";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;130,674678
"Épinay-sur-Orge";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;274,975273
"Saulx-les-Chartreux";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;97,469033
"Villebon-sur-Yvette";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;299,092021
"Linas";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;158,309251
"Massy";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;1443,363123
"Gometz-le-Châtel";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;30,395676
"Igny";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;119,737284
"Nozay";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;18,170103
"Verrières-le-Buisson";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;448,897569
"Igny";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;229,900405
"Gif-sur-Yvette";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;306,283652
"Villebon-sur-Yvette";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;111,659132
"Gometz-le-Châtel";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;2248,173279
"Longjumeau";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;584,729504
"Longjumeau";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;19189,669034
"Massy";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;29,335849
"Linas";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;175,888538
"Wissous";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;205,421165
"Vauhallan";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;1820,982693
"Saulx-les-Chartreux";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;1,014766
"Igny";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;174,599354
"Ballainvilliers";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;57
"Chilly-Mazarin";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;417,70785
"Villejust";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;17,037865
"Verrières-le-Buisson";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;3,999785
"Massy";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;939,109469
"La Ville-du-Bois";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;356
"Verrières-le-Buisson";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;362,791293
"Les Ulis";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;1072,03171
"Chilly-Mazarin";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;16449,36763
"Igny";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;304,580621
"Wissous";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;67,095837
"Marcoussis";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;13
"Nozay";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;42,964719
"Ballainvilliers";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;3
"Marcoussis";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;232
"La Ville-du-Bois";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;6268
"Longjumeau";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;8,354904
"Les Ulis";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;22020,058318
"Champlan";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;14,599323
"Gif-sur-Yvette";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;13,082921
"Épinay-sur-Orge";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;9289,333074
"Épinay-sur-Orge";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;44,591471
"Gif-sur-Yvette";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;97,669427
"Palaiseau";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;627,760383
"Vauhallan";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;8,121525
"Villiers-le-Bâcle";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;60
"Saulx-les-Chartreux";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;155,439959
"Saclay";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;92,808187
"Ballainvilliers";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;28
"Saclay";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;119,818809
"Vauhallan";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;38,785372
"Marcoussis";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;352
"Montlhéry";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;3,79759
"Chilly-Mazarin";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;12,801015
"Montlhéry";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;413,966483
"Linas";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;160,423939
"Saclay";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;2844,616014
"Marcoussis";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;7077
"Villejust";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;57,12696
"Villiers-le-Bâcle";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;13
"Bures-sur-Yvette";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;171,252259
"Montlhéry";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;119,119488
"Marcoussis";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;69
"Igny";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;7,755171
"Linas";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;17,112622
"Marcoussis";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;147
"La Ville-du-Bois";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;155
"Bures-sur-Yvette";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;3,988183
"Saulx-les-Chartreux";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;70,310216
"Wissous";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2011;5,919928
"Saclay";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;17,993424
"Gif-sur-Yvette";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;508,232902
"Villejust";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;2019,483252
"Wissous";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;5545,568684
"Bures-sur-Yvette";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2011;232,906413
"Palaiseau";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;27194,677504
"Orsay";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;379,712784
"Gif-sur-Yvette";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2011;18693,274611
"Gif-sur-Yvette";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;280,356024
"Villebon-sur-Yvette";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2011;267,737003
"Ballainvilliers";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;108
"Bures-sur-Yvette";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2011;152,2545
"Vauhallan";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2011;19,201893
"Nozay";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2011;200,869038
