"Géographie";"Niveau Géo";"Âge";"Indicateur de résidence antérieure ";"Mesure du recensement ";"Fréquence";Période;Valeur
"Igny";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2022;1,079241
"Villejust";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2022;4,092157
"Longjumeau";"Commune";"1 an ou plus";"Hors de la région dans un DOM";"Population";"Annuel";2022;1,962427
"Ballainvilliers";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2022;410
"Marcoussis";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2022;360
"La Ville-du-Bois";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2022;190
"La Ville-du-Bois";"Commune";"1 an ou plus";"Autre commune du département";"Population";"Annuel";2022;314
"Marcoussis";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;163
"La Ville-du-Bois";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2022;7297
"La Ville-du-Bois";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;159
"Marcoussis";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2022;7721
"Villiers-le-Bâcle";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2022;962
"Ballainvilliers";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2022;4024
"Marcoussis";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2022;181
"Ballainvilliers";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;119
"Ballainvilliers";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2022;180
"La Ville-du-Bois";"Commune";"1 an ou plus";"Hors métropole ou DOM";"Population";"Annuel";2022;31
"Villiers-le-Bâcle";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2022;6
"Marcoussis";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2022;41
"La Ville-du-Bois";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2022;42
