"Fréquence";"Géographie";"Niveau Géo";"Mesure état civil";"Statut de l'observation";Période;Valeur
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2010;413
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2010;27
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2010;443
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2010;108
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2010;95
"Annuel";"Massy";"Commune";"Nombre de naissances vivantes";"Normale";2010;852
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2010;41
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2010;104
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2010;66
"Annuel";"Saint-Aubin";"Commune";"Nombre de naissances vivantes";"Normale";2010;2
"Annuel";"Longjumeau";"Commune";"Nombre de naissances vivantes";"Normale";2010;389
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de naissances vivantes";"Normale";2010;109
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de naissances vivantes";"Normale";2010;392
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de naissances vivantes";"Normale";2010;153
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de naissances vivantes";"Normale";2010;30
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2010;93
"Annuel";"Orsay";"Commune";"Nombre de naissances vivantes";"Normale";2010;165
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2010;112
"Annuel";"Igny";"Commune";"Nombre de naissances vivantes";"Normale";2010;87
"Annuel";"Nozay";"Commune";"Nombre de naissances vivantes";"Normale";2010;47
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2010;104
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de naissances vivantes";"Normale";2010;17
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2010;96
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de naissances vivantes";"Normale";2010;4265
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2011;126
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2011;463
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de naissances vivantes";"Normale";2011;14
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2011;455
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2011;106
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2011;56
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2011;90
"Annuel";"Ballainvilliers";"Commune";"Nombre de naissances vivantes";"Normale";2011;45
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2011;97
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2011;26
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2011;125
"Annuel";"Saclay";"Commune";"Nombre de naissances vivantes";"Normale";2011;42
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2011;100
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2011;190
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2011;94
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2011;35
"Annuel";"Igny";"Commune";"Nombre de naissances vivantes";"Normale";2011;116
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de naissances vivantes";"Normale";2011;140
"Annuel";"Nozay";"Commune";"Nombre de naissances vivantes";"Normale";2011;44
"Annuel";"Saint-Aubin";"Commune";"Nombre de naissances vivantes";"Normale";2011;7
"Annuel";"Vauhallan";"Commune";"Nombre de naissances vivantes";"Normale";2011;12
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de naissances vivantes";"Normale";2011;38
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de naissances vivantes";"Normale";2011;350
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de naissances vivantes";"Normale";2011;104
"Annuel";"Longjumeau";"Commune";"Nombre de naissances vivantes";"Normale";2011;380
"Annuel";"Massy";"Commune";"Nombre de naissances vivantes";"Normale";2011;906
"Annuel";"Orsay";"Commune";"Nombre de naissances vivantes";"Normale";2011;160
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de naissances vivantes";"Normale";2011;4321
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2012;438
"Annuel";"Nozay";"Commune";"Nombre de naissances vivantes";"Normale";2012;51
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de naissances vivantes";"Normale";2012;378
"Annuel";"Longjumeau";"Commune";"Nombre de naissances vivantes";"Normale";2012;350
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2012;69
"Annuel";"Saint-Aubin";"Commune";"Nombre de naissances vivantes";"Normale";2012;4
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2012;149
"Annuel";"Igny";"Commune";"Nombre de naissances vivantes";"Normale";2012;113
"Annuel";"Saclay";"Commune";"Nombre de naissances vivantes";"Normale";2012;47
"Annuel";"Orsay";"Commune";"Nombre de naissances vivantes";"Normale";2012;152
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2012;197
"Annuel";"Vauhallan";"Commune";"Nombre de naissances vivantes";"Normale";2012;5
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2012;121
"Annuel";"Massy";"Commune";"Nombre de naissances vivantes";"Normale";2012;901
"Annuel";"Ballainvilliers";"Commune";"Nombre de naissances vivantes";"Normale";2012;41
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de naissances vivantes";"Normale";2012;21
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2012;88
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2012;139
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2012;103
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2012;25
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2012;404
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2012;126
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de naissances vivantes";"Normale";2012;22
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de naissances vivantes";"Normale";2012;79
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2012;84
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de naissances vivantes";"Normale";2012;116
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2012;31
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de naissances vivantes";"Normale";2012;4254
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2013;89
"Annuel";"Saclay";"Commune";"Nombre de naissances vivantes";"Normale";2013;51
"Annuel";"Orsay";"Commune";"Nombre de naissances vivantes";"Normale";2013;154
"Annuel";"Vauhallan";"Commune";"Nombre de naissances vivantes";"Normale";2013;16
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2013;97
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2013;33
"Annuel";"Igny";"Commune";"Nombre de naissances vivantes";"Normale";2013;122
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de naissances vivantes";"Normale";2013;369
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2013;124
"Annuel";"Longjumeau";"Commune";"Nombre de naissances vivantes";"Normale";2013;378
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2013;28
"Annuel";"Massy";"Commune";"Nombre de naissances vivantes";"Normale";2013;967
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de naissances vivantes";"Normale";2013;79
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de naissances vivantes";"Normale";2013;7
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2013;97
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2013;476
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2013;188
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2013;109
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2013;140
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de naissances vivantes";"Normale";2013;122
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2013;427
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2013;115
"Annuel";"Saint-Aubin";"Commune";"Nombre de naissances vivantes";"Normale";2013;10
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de naissances vivantes";"Normale";2013;21
"Annuel";"Nozay";"Commune";"Nombre de naissances vivantes";"Normale";2013;45
"Annuel";"Ballainvilliers";"Commune";"Nombre de naissances vivantes";"Normale";2013;48
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2013;54
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de naissances vivantes";"Normale";2013;4366
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de naissances vivantes";"Normale";2014;336
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2014;23
"Annuel";"Longjumeau";"Commune";"Nombre de naissances vivantes";"Normale";2014;376
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2014;82
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2014;472
