"Géographie";"Niveau Géo";"Catégorie de logement";"Mesure du recensement ";"Indice de peuplement";"Fréquence";Période;Valeur
"Palaiseau";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;216,18522
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;282,07789
"Les Ulis";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;583,12049
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;756,93324
"Vauhallan";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;234,60217
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;916,60258
"Vauhallan";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;0
"Palaiseau";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;2316,55746
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;992,63399
"Palaiseau";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;1276,04633
"Épinay-sur-Orge";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;920,2094
"Saclay";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;253,80198
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;23,93372
"Saclay";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;49,24516
"Saclay";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;431,84218
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;482,83141
"Saclay";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;215,92109
"Saclay";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;0
"Saclay";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;265,16625
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;406,33486
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;483,87549
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;125,14474
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;426,87159
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;23,86266
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;27,83977
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;143,17597
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;561,43747
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;323,30282
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;59,65665
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;630,39942
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;19,88555
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;707,64984
"Saint-Aubin";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;0
"Bures-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;8,0769
