"Géographie";"Niveau Géo";"Mesure démographie entreprises et établissements";"Activité économique";"Fréquence";Période;Valeur
"Ballainvilliers";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;10
"Ballainvilliers";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;290
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;8
"Linas";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;35
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;147
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;99
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;5
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;59
"Igny";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;36
"Igny";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;32
"Ballainvilliers";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;94
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;126
"Ballainvilliers";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;9
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;351
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;525
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;246
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;31
"Champlan";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;23
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;22
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;34
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;84
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;315
"Champlan";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;67
"Champlan";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;33
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;41
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;120
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;141
"Linas";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;103
"Ballainvilliers";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;17
"Igny";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;36
"Linas";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;12
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;1061
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;93
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;39
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;15
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;394
"Champlan";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;105
"Linas";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;155
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;90
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;66
"Ballainvilliers";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;52
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;60
"Linas";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;454
"Ballainvilliers";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;43
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;201
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;40
"Linas";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;25
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;26
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;70
"Igny";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;58
"Ballainvilliers";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;19
"Champlan";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;13
"Champlan";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;362
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;30
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;33
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;34
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;93
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;5
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;131
"Champlan";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;8
"Igny";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;138
"Linas";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;25
"Igny";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;544
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;18
"Linas";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;12
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;28
"Igny";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;47
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;8
"Linas";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;34
"Champlan";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;62
"Ballainvilliers";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;28
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;18
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;28
"Igny";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;20
"Igny";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;74
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;1150
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;7
"Épinay-sur-Orge";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;50
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;177
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;55
"Champlan";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;11
"Champlan";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;40
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;42
"Gif-sur-Yvette";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;43
"Gometz-le-Châtel";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;17
"Ballainvilliers";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;18
"Chilly-Mazarin";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;52
"Linas";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;53
"Bures-sur-Yvette";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;14
"Igny";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;103
"Longjumeau";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;98
"Marcoussis";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;509
"Marcoussis";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;18
"Orsay";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;188
"Massy";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;2347
"Saulx-les-Chartreux";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;22
"Marcoussis";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;97
"Longjumeau";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;100
"Marcoussis";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;36
"Palaiseau";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;76
"Vauhallan";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;100
"Palaiseau";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;1654
"Orsay";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;72
"Saulx-les-Chartreux";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;17
"Saulx-les-Chartreux";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;42
"Palaiseau";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;72
"Villiers-le-Bâcle";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;12
"Verrières-le-Buisson";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;58
"Wissous";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;691
"Longjumeau";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;46
"Verrières-le-Buisson";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;277
"Saint-Aubin";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;6
"Villebon-sur-Yvette";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;963
"Wissous";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;117
"Massy";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;706
"Vauhallan";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;17
"Nozay";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;31
"Wissous";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;91
"Saint-Aubin";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;27
"Palaiseau";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;164
"Nozay";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;11
"Nozay";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;271
"Saint-Aubin";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;5
"Verrières-le-Buisson";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;50
"Marcoussis";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;39
"Vauhallan";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;20
"Orsay";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;57
"Saclay";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;66
"La Ville-du-Bois";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;17
"Saulx-les-Chartreux";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;8
"Nozay";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;17
"Villiers-le-Bâcle";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;19
"La Ville-du-Bois";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;68
"Villebon-sur-Yvette";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;217
"Saclay";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;12
"Wissous";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;30
"Montlhéry";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;87
"Longjumeau";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;38
"Les Ulis";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;79
"Montlhéry";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;40
"Wissous";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;45
"Marcoussis";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;132
"Saclay";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;34
"Les Ulis";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;77
"Orsay";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;70
"Verrières-le-Buisson";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;75
"Longjumeau";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;1050
"Montlhéry";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;61
"Marcoussis";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;83
"Marcoussis";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;36
"Villebon-sur-Yvette";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;67
"Villejust";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;14
"Villejust";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;8
"Longjumeau";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;41
"Les Ulis";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;426
"Villejust";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;54
"Villejust";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;16
"Villiers-le-Bâcle";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;13
"Palaiseau";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;105
"Montlhéry";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;568
"Massy";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;182
"Wissous";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;60
"Orsay";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;1149
"Les Ulis";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;45
"La Ville-du-Bois";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;194
"Orsay";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;235
"Nozay";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;53
"Vauhallan";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;4
"Massy";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;73
"Longjumeau";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;171
"Les Ulis";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;1202
"Nozay";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;17
"Marcoussis";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;18
"Villiers-le-Bâcle";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;3
"Saulx-les-Chartreux";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;11
"Palaiseau";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;69
"Massy";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;182
"Orsay";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;49
"Saint-Aubin";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;12
"Nozay";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;69
"Saulx-les-Chartreux";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;336
"Vauhallan";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;5
"Villebon-sur-Yvette";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;47
"La Ville-du-Bois";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;36
"Villejust";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;91
"Massy";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;94
"Massy";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;77
"Saclay";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;18
"Saint-Aubin";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;4
"La Ville-du-Bois";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;41
"Saint-Aubin";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;6
"Massy";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;438
"Longjumeau";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;216
"Wissous";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;41
"Orsay";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;86
"Saclay";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;258
"Villiers-le-Bâcle";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;81
"Nozay";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;12
"Les Ulis";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;123
"Massy";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;177
"Villiers-le-Bâcle";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;6
"Longjumeau";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;293
"Villiers-le-Bâcle";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;12
"Villebon-sur-Yvette";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;35
"Saulx-les-Chartreux";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;93
"La Ville-du-Bois";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;62
"Montlhéry";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;48
"Verrières-le-Buisson";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;86
"Saclay";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;17
"Saclay";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;8
"Nozay";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;21
"Villejust";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;18
"Montlhéry";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;99
"Wissous";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;31
"Saclay";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;22
"Orsay";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;292
"Les Ulis";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;94
"Palaiseau";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;135
"Villiers-le-Bâcle";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;3
"Villebon-sur-Yvette";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;52
"Verrières-le-Buisson";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;169
"Saclay";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;26
"La Ville-du-Bois";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;18
"Saulx-les-Chartreux";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;63
"Vauhallan";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;5
"Vauhallan";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;4
"Verrières-le-Buisson";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;83
"Saulx-les-Chartreux";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;62
"Saclay";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;55
"Villiers-le-Bâcle";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;4
"Verrières-le-Buisson";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;218
"Villebon-sur-Yvette";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;99
"Villejust";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;15
"La Ville-du-Bois";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;4
"Les Ulis";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;61
"Villejust";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;257
"Saint-Aubin";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;103
"Wissous";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;47
"Wissous";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;229
"Longjumeau";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;47
"Villebon-sur-Yvette";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;55
"Montlhéry";"Commune";"Nombre d'établissements";"Activités financières et d'assurance";"Annuel";2014;15
"Montlhéry";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;165
"Les Ulis";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;85
"Verrières-le-Buisson";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;69
"La Ville-du-Bois";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;14
"Les Ulis";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;212
"Montlhéry";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;35
"Villiers-le-Bâcle";"Commune";"Nombre d'établissements";"Autres activités de services";"Annuel";2014;9
"Saint-Aubin";"Commune";"Nombre d'établissements";"Industrie manufacturière, industries extractives et autres";"Annuel";2014;8
"Palaiseau";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;369
"Vauhallan";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;13
"Villejust";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;21
"Vauhallan";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;11
"Saint-Aubin";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;32
"Saint-Aubin";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;3
"Montlhéry";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;18
"Palaiseau";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;264
"Vauhallan";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;21
"Saulx-les-Chartreux";"Commune";"Nombre d'établissements";"Activités immobilières";"Annuel";2014;18
"Villejust";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;20
"La Ville-du-Bois";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;454
"Orsay";"Commune";"Nombre d'établissements";"Information et communication";"Annuel";2014;100
"Massy";"Commune";"Nombre d'établissements";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Annuel";2014;418
"Verrières-le-Buisson";"Commune";"Nombre d'établissements";"Total";"Annuel";2014;1085
"Villebon-sur-Yvette";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;311
"Villebon-sur-Yvette";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;80
"Marcoussis";"Commune";"Nombre d'établissements";"Administration publique, enseignement, santé humaine et action sociale";"Annuel";2014;50
"Nozay";"Commune";"Nombre d'établissements";"Construction";"Annuel";2014;40
"Palaiseau";"Commune";"Nombre d'établissements";"Commerce de gros et de détail, transports, hébergement et restauration";"Annuel";2014;400
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre d'établissements";"Construction";"Annuel";2014;1900
