"Fréquence";"Géographie";"Niveau Géo";"Mesure état civil";"Statut de l'observation";Période;Valeur
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2010;129
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2010;160
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de décès";"Normale";2010;0
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de décès";"Normale";2010;25
"Annuel";"Igny";"Commune";"Nombre de décès";"Normale";2010;52
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de décès";"Normale";2010;42
"Annuel";"Linas";"Commune";"Nombre de décès";"Normale";2010;28
"Annuel";"Nozay";"Commune";"Nombre de décès";"Normale";2010;12
"Annuel";"Orsay";"Commune";"Nombre de décès";"Normale";2010;113
"Annuel";"Les Ulis";"Commune";"Nombre de décès";"Normale";2010;93
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de décès";"Normale";2010;9
"Annuel";"Ballainvilliers";"Commune";"Nombre de décès";"Normale";2010;13
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2010;9
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de décès";"Normale";2010;71
"Annuel";"Marcoussis";"Commune";"Nombre de décès";"Normale";2010;54
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de décès";"Normale";2010;1593
"Annuel";"Montlhéry";"Commune";"Nombre de décès";"Normale";2011;44
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de décès";"Normale";2011;11
"Annuel";"Les Ulis";"Commune";"Nombre de décès";"Normale";2011;73
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de décès";"Normale";2011;88
"Annuel";"Champlan";"Commune";"Nombre de décès";"Normale";2011;14
"Annuel";"Wissous";"Commune";"Nombre de décès";"Normale";2011;26
"Annuel";"Massy";"Commune";"Nombre de décès";"Normale";2011;223
"Annuel";"Marcoussis";"Commune";"Nombre de décès";"Normale";2011;63
"Annuel";"Saint-Aubin";"Commune";"Nombre de décès";"Normale";2011;3
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2011;165
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de décès";"Normale";2011;49
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2011;6
