"Géographie";"Niveau Géo";"Sexe";"Forme d'emploi";"Activité économique des emplois";"Profession et catégorie socioprofessionnelle (PCS)";"Mesure du recensement ";"Fréquence";Période;Valeur
"Wissous";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;7387,6362
"Épinay-sur-Orge";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;141,01427
"Saint-Aubin";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;609,8331
"Montlhéry";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;665,52495
"Verrières-le-Buisson";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;908,07568
"Wissous";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;1286,58865
"Saint-Aubin";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;222,68498
"Palaiseau";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;4801,73014
"Massy";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;5817,8697
"Igny";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;635,88848
"Wissous";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;1820,43622
"Orsay";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;5168,97077
"Villejust";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;342,66082
"Orsay";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;2629,49677
"Épinay-sur-Orge";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;735,77192
"Longjumeau";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;2505,96194
"Saclay";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;666,56854
"Massy";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;6878,87331
"Montlhéry";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;1755,00812
"Orsay";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;320,86024
"Verrières-le-Buisson";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;1141,31277
"Palaiseau";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;1453,01497
"Orsay";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;731,01492
"Montlhéry";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;1019,40066
"Ballainvilliers";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;453,08952
"Les Ulis";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;6823,07702
"Longjumeau";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;1441,26363
"Montlhéry";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;905,85481
"Saclay";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;1206,72015
"Massy";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;9819,1521
"Les Ulis";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;2146,1207
"Nozay";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;1850,04165
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;1659,76312
"Longjumeau";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;2206,94624
"Chilly-Mazarin";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;2574,87901
"Palaiseau";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;2758,2414
"Longjumeau";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;1135,00457
"Les Ulis";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;5104,18949
"Palaiseau";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;3099,39152
"Marcoussis";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;855,79848
"Wissous";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;2507,98397
"Champlan";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;454,99761
"Igny";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;415,17269
"Nozay";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;219,2582
"Gometz-le-Châtel";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;69,88746
"Longjumeau";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;7,88602
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;118,0142
"Bures-sur-Yvette";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;72,57066
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;22,34737
"Vauhallan";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;72,96238
"Saclay";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;11,04499
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;41,43819
"Wissous";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;1507,36205
"Gif-sur-Yvette";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;1982,82853
"Champlan";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;532,26145
"Gif-sur-Yvette";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;4630,26553
"Montlhéry";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;201,53837
"Verrières-le-Buisson";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;966,58375
"Orsay";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;2210,78262
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;318,97413
"Chilly-Mazarin";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;2238,54185
"Massy";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;3726,62787
"Saclay";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;2017,40852
"Gif-sur-Yvette";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;2319,49855
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;1891,22468
"Les Ulis";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;435,46084
"Wissous";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;265,26531
"Nozay";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;658,77019
"Chilly-Mazarin";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;7,89655
"Les Ulis";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;7,94702
"Champlan";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;189,0032
"Montlhéry";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;4,04301
"Marcoussis";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;696,03188
"Palaiseau";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;415,88729
"Igny";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;580,09147
"Villejust";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;229,93597
"Ballainvilliers";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;273,37381
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;131,04375
"Saint-Aubin";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;11,68994
"Gif-sur-Yvette";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;177,53074
"Villejust";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;106,05978
"Longjumeau";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;347,55361
"Marcoussis";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;818,59409
"Ballainvilliers";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;435,50545
"Villejust";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;305,07416
"Bures-sur-Yvette";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;349,11594
"Gometz-le-Châtel";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;93,26199
"La Ville-du-Bois";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;308,63339
"Gif-sur-Yvette";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;287,7105
"Gif-sur-Yvette";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;412,64627
"Linas";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;406,86763
"Chilly-Mazarin";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;2009,36867
"Bures-sur-Yvette";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;396,17197
"Massy";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;620,80052
"Bures-sur-Yvette";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;146,21081
"Saclay";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;743,89125
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;879,69728
"Saclay";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;49,15247
"Les Ulis";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;4104,34886
"Villejust";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;219,23155
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;55,18991
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;317,04139
"Saint-Aubin";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;31,03333
"Champlan";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;352,53429
"Marcoussis";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;596,08491
"Ballainvilliers";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;64,97529
"Bures-sur-Yvette";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;446,14524
"Verrières-le-Buisson";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;256,115
"Linas";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;380,11162
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;1572,73279
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;392,65363
"La Ville-du-Bois";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;899,11088
"La Ville-du-Bois";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;574,33099
"Chilly-Mazarin";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;3069,00365
"Vauhallan";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;46,84886
"Linas";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;376,29442
"Épinay-sur-Orge";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;867,5176
"Palaiseau";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;9,96498
"Marcoussis";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;221,32288
"Épinay-sur-Orge";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;181,13975
"La Ville-du-Bois";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;160,27003
"Épinay-sur-Orge";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;366,68631
"Gometz-le-Châtel";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;4,05276
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;16,07467
"Verrières-le-Buisson";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;2,8456
"Gometz-le-Châtel";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;21,21061
"Marcoussis";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;35,9523
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;255,34367
"Gometz-le-Châtel";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2011;158,11201
"Ballainvilliers";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;497,69943
"Massy";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;8,7143
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;307,63324
"Orsay";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;6,96346
"La Ville-du-Bois";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;261,22905
"Gometz-le-Châtel";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;80,08501
"Linas";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;185,13144
"Palaiseau";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;3,09014
"Vauhallan";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2011;4,9441
"Bures-sur-Yvette";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;25,14978
"Villejust";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;4,00891
"Massy";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;5,27583
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;7,90507
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;3,31399
"Linas";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2011;8,0874
"Champlan";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;434,10558
"Chilly-Mazarin";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;399,50216
"Verrières-le-Buisson";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;505,68771
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;53,81007
"Champlan";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;199,41912
"Chilly-Mazarin";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;3,96779
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;10,68524
"Saint-Aubin";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;123,43622
"Vauhallan";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;49,19676
"Épinay-sur-Orge";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;394,12919
"Igny";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;188,31294
"Igny";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;547,44942
"Longjumeau";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;12,37174
"Nozay";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;330,09737
"Villejust";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;80,88449
"Linas";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;165,8774
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2011;62,26691
"Nozay";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;81,0006
"Bures-sur-Yvette";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;75,13225
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;47,65902
"Saint-Aubin";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;20,76252
"Gometz-le-Châtel";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;143,94604
"Épinay-sur-Orge";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;2,73583
"Vauhallan";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2011;63,32083
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;20,62684
"Marcoussis";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;4
"Bures-sur-Yvette";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;22,59193
"La Ville-du-Bois";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;4
"Linas";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;8,1597
"Vauhallan";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;37,29725
"Villejust";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;4,00891
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;8,05745
"Verrières-le-Buisson";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;4,0669
"Saint-Aubin";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;3,78586
"Vauhallan";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2011;9,20862
"Les Ulis";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;13,99257
"Gometz-le-Châtel";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;47,68081
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2011;112,80729
"Igny";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;6,34322
"Champlan";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2011;11,78289
"Les Ulis";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;18627,18947
"Palaiseau";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;4553,03043
"Nozay";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;288,2189
"Villejust";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;1181,7959
"Longjumeau";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;7649,10174
"Champlan";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;1985,10094
"Épinay-sur-Orge";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;2547,98059
"Verrières-le-Buisson";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;3781,84183
"Orsay";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;11068,08877
"Nozay";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;3139,16801
"Massy";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;26872,03779
"Saclay";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;4683,74093
"Chilly-Mazarin";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;10295,26314
"Montlhéry";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;4551,36991
"Palaiseau";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;12538,2303
"Saint-Aubin";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;1011,53601
"Igny";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;2373,25821
"Ballainvilliers";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;1724,6435
"Vauhallan";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;205,87232
"La Ville-du-Bois";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;2207,57433
"Gometz-le-Châtel";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;523,08585
"Linas";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;1522,44222
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;6333,07725
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;239,55275
"Bures-sur-Yvette";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;1435,36813
"Gif-sur-Yvette";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;9632,94939
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;1393,53666
"Marcoussis";"Commune";"Total";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2011;3191,83224
"Longjumeau";"Commune";"Total";"Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2011;280,74035
"Longjumeau";"Commune";"Total";"Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;3106,90612
"Massy";"Commune";"Total";"Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;15114,99581
"Épinay-sur-Orge";"Commune";"Total";"Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;1184,989
"Chilly-Mazarin";"Commune";"Total";"Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2011;6895,33003
"Verrières-le-Buisson";"Commune";"Total";"Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2011;1089,84205
