"Géographie";"Niveau Géo";"Sexe";"Forme d'emploi";"Activité économique des emplois";"Profession et catégorie socioprofessionnelle (PCS)";"Mesure du recensement ";"Fréquence";Période;Valeur
"Massy";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2022;4,88794
"Igny";"Commune";"Femme";"Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;82,88934
"Vauhallan";"Commune";"Homme";"Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2022;38,14766
"Saulx-les-Chartreux";"Commune";"Femme";"Non Salariés";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2022;5,15754
"Igny";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2022;396,73212
"Massy";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;889,27024
"Champlan";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;144,44
"Verrières-le-Buisson";"Commune";"Homme";"Non Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;16,2627
"Saulx-les-Chartreux";"Commune";"Femme";"Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;28,63817
"Igny";"Commune";"Femme";"Non Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2022;80,6639
"Longjumeau";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2022;1626,1453
"Gometz-le-Châtel";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2022;127,73248
"Bures-sur-Yvette";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2022;472,01901
"Saint-Aubin";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2022;578,28538
"Champlan";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2022;480,09971
"Verrières-le-Buisson";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;235,69081
"Gif-sur-Yvette";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;428,96914
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2022;471,41127
"Saclay";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2022;788,93858
"Villejust";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2022;255,09115
"Champlan";"Commune";"Total";"Total";"Total";"Employés";"Nombre d’emplois";"Annuel";2022;280,64692
"Nozay";"Commune";"Total";"Total";"Total";"Agriculteurs";"Nombre d’emplois";"Annuel";2022;5,00031
"Wissous";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;314,0252
"Bures-sur-Yvette";"Commune";"Total";"Total";"Total";"Ouvriers";"Nombre d’emplois";"Annuel";2022;116,16252
"Igny";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2022;617,1579
"Vauhallan";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2022;74,11891
"Villejust";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2022;456,5722
"Bures-sur-Yvette";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2022;529,29744
"Gometz-le-Châtel";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;65,91469
"Linas";"Commune";"Total";"Total";"Total";"Cadres et professions intellectuelles supérieures";"Nombre d’emplois";"Annuel";2022;287,03585
"Palaiseau";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;621,71635
"Les Ulis";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2022;2,76475
"Villiers-le-Bâcle";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2022;3,16609
"Saclay";"Commune";"Total";"Total";"Total";"Artisans, commerçants et chefs d’entreprise";"Nombre d’emplois";"Annuel";2022;94,49315
"Igny";"Commune";"Total";"Total";"Total";"Professions intermédiaires";"Nombre d’emplois";"Annuel";2022;512,22049
"Nozay";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;2249,70462
"Verrières-le-Buisson";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;1759,79503
"Gif-sur-Yvette";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;5836,63292
"Montlhéry";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;1497,97418
"Wissous";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;6019,94437
"Gif-sur-Yvette";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;5657,9833
"Chilly-Mazarin";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;5216,57694
"Montlhéry";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;2458,82282
"Villejust";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;1279,30666
"Les Ulis";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;6455,17727
"Massy";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;14995,30035
"Marcoussis";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;2407,01086
"Épinay-sur-Orge";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;1181,91731
"Linas";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;1032,11822
"Marcoussis";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2022;1457,64447
