"Géographie";"Niveau Géo";"Statut d'emploi variable selon l'enquête";"Âge";"Profession et catégorie socioprofessionnelle (PCS)";"Mesure du recensement ";"Fréquence";Période;Valeur
"La Ville-du-Bois";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;3995
"Massy";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;6801,36317
"Saint-Aubin";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;99,57326
"Gif-sur-Yvette";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;9372,11777
"Bures-sur-Yvette";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;276,36047
"Épinay-sur-Orge";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;5507,27756
"Linas";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;873,26276
"Palaiseau";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;487,08512
"Igny";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;218,26371
"Saclay";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;812,31512
"Wissous";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;1124,52684
"Champlan";"Commune";"Actif";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;29,99642
"Chilly-Mazarin";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;392,80094
"Saint-Aubin";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;49,78663
"Verrières-le-Buisson";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;6745,35871
"Villejust";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;414,627
"Linas";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;210,14956
"Longjumeau";"Commune";"Actif";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;2,72756
"Montlhéry";"Commune";"Actif";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;4,95777
"Verrières-le-Buisson";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;3046,17288
"Épinay-sur-Orge";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;1455,87932
"Villiers-le-Bâcle";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;260
"Épinay-sur-Orge";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;1330,11248
"Longjumeau";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;10730,47532
"Vauhallan";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;314,39464
"Vauhallan";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;54,03658
"Épinay-sur-Orge";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;195,49365
"Chilly-Mazarin";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;320,50669
"Igny";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;36,19182
"Nozay";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;577,44336
"Épinay-sur-Orge";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;176,40009
"Palaiseau";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;1218,71157
"Igny";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;397,44726
"Linas";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;444,30096
"Gif-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;202,12435
"Orsay";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;183,2702
"Verrières-le-Buisson";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1452,71148
"Palaiseau";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;464,98674
"Verrières-le-Buisson";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;458,35302
"Gif-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;106,58291
"Longjumeau";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;2596,51463
"Chilly-Mazarin";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;360,42946
"Massy";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;655,27371
"Orsay";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;1003,58873
"Les Ulis";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;37,47513
"Chilly-Mazarin";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;2707,31763
"Linas";"Commune";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;10,0844
"Chilly-Mazarin";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;32,37148
"Épinay-sur-Orge";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;1418,64977
"Palaiseau";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;3419,67351
"Longjumeau";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;224,16061
"Épinay-sur-Orge";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;173,18054
"Orsay";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;118,60358
"Massy";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;376,70373
"Épinay-sur-Orge";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;142,3261
"Massy";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;5865,39869
"Igny";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;93,96717
"Massy";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;6398,29793
"Palaiseau";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;4170,8922
"Verrières-le-Buisson";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;137,61407
"Linas";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1107,78272
"Verrières-le-Buisson";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;1053,8727
"Longjumeau";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;1978,51859
"Épinay-sur-Orge";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1611,00954
"Longjumeau";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;422,50544
"Chilly-Mazarin";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;1710,0016
"Massy";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;50,04736
"Linas";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;10,0844
"Wissous";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;35,12816
"Nozay";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;754,76718
"Verrières-le-Buisson";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;47,72067
"Wissous";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;239,20549
"Verrières-le-Buisson";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;351,16671
"Orsay";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;258,14459
"Linas";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;65,91935
"Palaiseau";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;252,82453
"Longjumeau";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;375,5762
"Wissous";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1119,09964
"Orsay";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;401,11082
"Igny";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1270,95387
"Palaiseau";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;364,66827
"Longjumeau";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;2718,47715
"Les Ulis";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;629,4608
"Les Ulis";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;84,12018
"Wissous";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;40,06475
"Les Ulis";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;1824,1419
"Les Ulis";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;269,65204
"Wissous";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;819,47896
"Wissous";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;457,2594
"Verrières-le-Buisson";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;2937,47519
"Gif-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;373,5129
"Palaiseau";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;242,39304
"Massy";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;591,83328
"Massy";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;2587,46817
"Les Ulis";"Commune";"Actif occupé";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;2,66135
"Nozay";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;244,20875
"Les Ulis";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;442,07706
"Igny";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;761,8457
"Longjumeau";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;1689,45938
"Gif-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;1229,81884
"Linas";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;768,34161
"Les Ulis";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;349,18431
"Nozay";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;649,6681
"Épinay-sur-Orge";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;565,4983
"Gif-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;193,20024
"Chilly-Mazarin";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;2881,42831
"Wissous";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;14,99463
"Les Ulis";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;3387,13717
"Palaiseau";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;341,85444
"Wissous";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;126,30319
"Chilly-Mazarin";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;171,71843
"Massy";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;935,96449
"Gif-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;4475,17204
"Linas";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;94,11927
"Linas";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;89,88692
"Linas";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;25,28296
"Palaiseau";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;22,09838
"Orsay";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;107,78362
"Gif-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;435,97365
"Verrières-le-Buisson";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;129,11949
"Igny";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;208,05017
"Longjumeau";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;81,6492
"Nozay";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;132,07651
"Igny";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;76,18455
"Nozay";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;39,53344
"Orsay";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;3709,81302
"Les Ulis";"Commune";"Actif occupé";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;1846,19183
"Linas";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;200,06516
"Chilly-Mazarin";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;62,12921
"Orsay";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1720,3026
"Épinay-sur-Orge";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;132,28789
"Longjumeau";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;33,10925
"Nozay";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;19,90042
"Nozay";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;49,36564
"Massy";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;8014,85395
"Gif-sur-Yvette";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;2119,49442
"Verrières-le-Buisson";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;108,69769
"Épinay-sur-Orge";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;1153,71239
"Palaiseau";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;6450,42504
"Orsay";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;157,78201
"Linas";"Commune";"Actif occupé";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;807,34342
"Wissous";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;1089,39868
"Épinay-sur-Orge";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;22,31311
"Chilly-Mazarin";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;1535,8063
"Massy";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;533,52021
"Igny";"Commune";"Chômeur";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;70,19229
"Chilly-Mazarin";"Commune";"Chômeur";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;411,97442
"Longjumeau";"Commune";"Actif occupé";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;425,16683
"Gif-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;10,96581
"Wissous";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;60,10658
"Gif-sur-Yvette";"Commune";"Chômeur";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;146,40703
"Les Ulis";"Commune";"Actif occupé";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;2590,26766
"Igny";"Commune";"Actif occupé";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;1827,85313
"Épinay-sur-Orge";"Commune";"Chômeur";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;37,22956
"Nozay";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;132,07651
"Ballainvilliers";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;2440
"Longjumeau";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;3019,02007
"Palaiseau";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;3761,52795
"Vauhallan";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;24,56208
"Gometz-le-Châtel";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;1270,94118
"Nozay";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;697,53869
"Verrières-le-Buisson";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;1182,99219
"Marcoussis";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;880
"Épinay-sur-Orge";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;707,8244
"Chilly-Mazarin";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;1597,93551
"Villiers-le-Bâcle";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;655
"Saulx-les-Chartreux";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;560,39648
"Marcoussis";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;260
"Massy";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;6990,13121
"Gometz-le-Châtel";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;210,99724
"Les Ulis";"Commune";"Actif";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;5,52206
"Massy";"Commune";"Actif";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;2,13899
"Linas";"Commune";"Actif";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;10,0844
"La Ville-du-Bois";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;705
"Marcoussis";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;1120
"Saclay";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;103,38556
"Montlhéry";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;892,39797
"Massy";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;705,32107
"Igny";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1347,13842
"Ballainvilliers";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;345
"Longjumeau";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;458,27608
"Wissous";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;497,32415
"Champlan";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;475,62896
"Gometz-le-Châtel";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;507,36174
"Saint-Aubin";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;353,48506
"Montlhéry";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;827,947
"Villebon-sur-Yvette";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;5329,0351
"Orsay";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;508,89444
"Saclay";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;1900,32506
"Épinay-sur-Orge";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1743,29743
"Chilly-Mazarin";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;10324,6823
"Champlan";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;530,75939
"Longjumeau";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;2942,63775
"Saulx-les-Chartreux";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;174,12026
"Saclay";"Commune";"Actif";"De 15 à 64 ans";"Agriculteurs";"Population";"Annuel";2016;4,92312
"Igny";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;4799,53773
"Wissous";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;254,20012
"La Ville-du-Bois";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;820
"Marcoussis";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;525
"Montlhéry";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1214,65279
"Bures-sur-Yvette";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;4219,17373
"Igny";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;467,63955
"Villebon-sur-Yvette";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;494,44341
"Saint-Aubin";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;4,97866
"Les Ulis";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;307,12717
"Saulx-les-Chartreux";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;318,63306
"Palaiseau";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;6703,24956
"Marcoussis";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1290
"Villejust";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;177,21807
"Bures-sur-Yvette";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;1034,61813
"Verrières-le-Buisson";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;473,13703
"Montlhéry";"Commune";"Actif";"De 15 à 64 ans";"Total";"Population";"Annuel";2016;3867,05786
"Champlan";"Commune";"Actif";"De 15 à 64 ans";"Cadres et professions intellectuelles supérieures";"Population";"Annuel";2016;233,1233
"Champlan";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;267,91365
"Gif-sur-Yvette";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;542,55656
"Chilly-Mazarin";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;2030,50829
"Saulx-les-Chartreux";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;883,58056
"Ballainvilliers";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;140
"Les Ulis";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;2288,26888
"Massy";"Commune";"Actif";"De 15 à 64 ans";"Ouvriers";"Population";"Annuel";2016;3120,98838
"Les Ulis";"Commune";"Actif";"De 15 à 64 ans";"Employés";"Population";"Annuel";2016;4016,59797
"Ballainvilliers";"Commune";"Actif";"De 15 à 64 ans";"Professions intermédiaires";"Population";"Annuel";2016;755
"La Ville-du-Bois";"Commune";"Actif";"De 15 à 64 ans";"Artisans, commerçants et chefs d’entreprise";"Population";"Annuel";2016;255
