"Géographie";"Niveau Géo";"Sexe";"Âge";"Mesure du recensement ";Période;Valeur
"Montlhéry";"Commune";"Total";"Moins de 15 ans";"Population";2011;1466,819221
"Montlhéry";"Commune";"Total";"De 40 à 54 ans";"Population";2011;1429,995289
"Saulx-les-Chartreux";"Commune";"Total";"De 25 à 39 ans";"Population";2011;1024,758748
"Wissous";"Commune";"Total";"80 ans ou plus";"Population";2011;222,521272
"Gif-sur-Yvette";"Commune";"Total";"De 25 à 39 ans";"Population";2011;3228,617611
"Villebon-sur-Yvette";"Commune";"Total";"De 40 à 54 ans";"Population";2011;2096,073507
"Épinay-sur-Orge";"Commune";"Total";"80 ans ou plus";"Population";2011;585,424977
"Wissous";"Commune";"Total";"De 55 à 64 ans";"Population";2011;885,684322
"Wissous";"Commune";"Total";"De 65 à 79 ans";"Population";2011;797,285165
"Orsay";"Commune";"Total";"De 55 à 64 ans";"Population";2011;1769,40808
"Palaiseau";"Commune";"Total";"De 25 à 39 ans";"Population";2011;6389,115603
"Villiers-le-Bâcle";"Commune";"Total";"Moins de 15 ans";"Population";2011;281
"Saint-Aubin";"Commune";"Total";"De 40 à 54 ans";"Population";2011;125,27897
"Massy";"Commune";"Total";"80 ans ou plus";"Population";2011;1445,837796
"La Ville-du-Bois";"Commune";"Total";"De 15 à 24 ans";"Population";2011;923
"Saint-Aubin";"Commune";"Total";"De 65 à 79 ans";"Population";2011;87,496423
"Montlhéry";"Commune";"Total";"De 65 à 79 ans";"Population";2011;674,443587
"Les Ulis";"Commune";"Total";"De 15 à 24 ans";"Population";2011;3340,049182
"Saint-Aubin";"Commune";"Total";"De 15 à 24 ans";"Population";2011;46,731044
"Igny";"Commune";"Total";"De 40 à 54 ans";"Population";2011;2409,929074
"Les Ulis";"Commune";"Total";"De 25 à 39 ans";"Population";2011;5619,582087
"Gif-sur-Yvette";"Commune";"Total";"De 55 à 64 ans";"Population";2011;2618,976898
"Igny";"Commune";"Total";"De 25 à 39 ans";"Population";2011;1722,688037
"Villejust";"Commune";"Total";"De 25 à 39 ans";"Population";2011;492,091193
"Bures-sur-Yvette";"Commune";"Total";"De 55 à 64 ans";"Population";2011;1283,065646
"Bures-sur-Yvette";"Commune";"Total";"80 ans ou plus";"Population";2011;287,070586
"Ballainvilliers";"Commune";"Total";"De 65 à 79 ans";"Population";2011;375
"Saclay";"Commune";"Total";"Moins de 15 ans";"Population";2011;878,836714
"Vauhallan";"Commune";"Total";"De 40 à 54 ans";"Population";2011;479,182573
"Longjumeau";"Commune";"Total";"De 40 à 54 ans";"Population";2011;4321,186048
"Villiers-le-Bâcle";"Commune";"Total";"De 40 à 54 ans";"Population";2011;287
"Palaiseau";"Commune";"Total";"De 55 à 64 ans";"Population";2011;3221,865912
"Champlan";"Commune";"Total";"De 55 à 64 ans";"Population";2011;308,532355
"Marcoussis";"Commune";"Total";"De 55 à 64 ans";"Population";2011;926
"Chilly-Mazarin";"Commune";"Total";"De 25 à 39 ans";"Population";2011;4765,458544
"Villiers-le-Bâcle";"Commune";"Total";"De 65 à 79 ans";"Population";2011;87
"Vauhallan";"Commune";"Total";"De 65 à 79 ans";"Population";2011;267,204233
