"Géographie";"Niveau Géo";"Catégorie de logement";"Durée de séjour";"Type de logement";"Combustible";"Nombre de voitures du ménage";"Mesure du recensement ";"Garage-box-parking";"Nombre de pièces du logement";"Statut d’occupation du logement";"Période d’achèvement du logement";Période;Valeur
"Ballainvilliers";"Commune";"Résidences principales";"De 2 à 4 ans";"Total";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;792
"Épinay-sur-Orge";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;41,90137
"Linas";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;27,6244
"Wissous";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;36,98133
"Bures-sur-Yvette";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;3627
"Palaiseau";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;12234,14488
"Gometz-le-Châtel";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;62,1597
"Les Ulis";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;9267,42459
"Longjumeau";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;46,21479
"Gometz-le-Châtel";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;34,64639
"Les Ulis";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;428,51159
"Montlhéry";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2872,877
"Massy";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;18020,71335
"Saint-Aubin";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;7,49609
"Gometz-le-Châtel";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1016,20204
"Marcoussis";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;118
"La Ville-du-Bois";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;152
"Palaiseau";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;106,14435
"Nozay";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1709
"Linas";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2352
"Longjumeau";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;8853,53929
"Igny";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;35,415
"Saulx-les-Chartreux";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;87,57507
"Saclay";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;53,27503
"Vauhallan";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;32,12192
"Chilly-Mazarin";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;445,55439
"Longjumeau";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;395,22229
"Les Ulis";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;42,56837
"Verrières-le-Buisson";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;312,85108
"Épinay-sur-Orge";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;3932,34412
"Villiers-le-Bâcle";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;22
"Nozay";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;16,28621
"Chilly-Mazarin";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;7813,55942
"Marcoussis";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2979
"Vauhallan";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;771,55801
"Champlan";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;57,51274
"La Ville-du-Bois";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;15
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;470
"Wissous";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;206,37967
"Massy";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;881,70147
"Orsay";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;6590,65135
"Épinay-sur-Orge";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;195,95809
"Wissous";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2542
"Chilly-Mazarin";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;159,86417
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1347,95392
"Linas";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;66,02549
"Marcoussis";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2298
"Massy";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;15454,33218
"Vauhallan";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;1,01122
"Villejust";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;3179,06519
"Orsay";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;3707,90166
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;1752
"Bures-sur-Yvette";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1105,46698
"Chilly-Mazarin";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1347,17099
"Igny";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1410,84697
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;6,03884
"Massy";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;48964,87992
"Orsay";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;6865,96312
"La Ville-du-Bois";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2066
"La Ville-du-Bois";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;1106
"Gometz-le-Châtel";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;492,40995
"Chilly-Mazarin";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;20791,37779
"Vauhallan";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;226,51244
"Orsay";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;19667,87369
"Villejust";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;15,03097
"Épinay-sur-Orge";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;68,71578
"Orsay";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2821,99808
"Saint-Aubin";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;96,44492
"Palaiseau";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;23207,73174
"Bures-sur-Yvette";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;2994,37733
"Igny";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;72,06167
"Orsay";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;76,0682
"Montlhéry";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;53,16626
"Gif-sur-Yvette";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;10497,25008
"Champlan";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;70,07675
"Igny";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;13339,13248
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;360
"La Ville-du-Bois";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;31
"Vauhallan";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;3473,52787
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2058,28293
"Saclay";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;201,71575
"Villejust";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;651,44779
"Bures-sur-Yvette";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;13519,93425
"Villejust";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;147,32742
"Saint-Aubin";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;228,68383
"Massy";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;271,1311
"Linas";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;537,40459
"Ballainvilliers";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;350
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;336
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;130
"Vauhallan";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;677,5149
"Chilly-Mazarin";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;6436,58886
"Longjumeau";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;305,83856
"Chilly-Mazarin";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;29,79956
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;4
"Wissous";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;17,31388
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;1726,23346
"Montlhéry";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;7868,60693
"Saclay";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;3,78809
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;103,75406
"Vauhallan";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;93,0319
"Palaiseau";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;4714,83521
"Gometz-le-Châtel";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;14,15792
"Longjumeau";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;354,02706
"Bures-sur-Yvette";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;46,29235
"Linas";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;1296,93044
"Wissous";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;51,52143
"Palaiseau";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;125,63294
"Champlan";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;724,12641
"Les Ulis";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;214,26103
"Gometz-le-Châtel";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;3963,59614
"Palaiseau";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;23506,80595
"Montlhéry";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1295,92766
"Marcoussis";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;45
"Épinay-sur-Orge";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1221,59079
"Champlan";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;621,93115
"Verrières-le-Buisson";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;3290,77992
"Saclay";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;572,9485
"Verrières-le-Buisson";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;9324,91127
"Orsay";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;60,75162
"Igny";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;108,09657
"Linas";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1748,56992
"Igny";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2678,26771
"Épinay-sur-Orge";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;12884,92735
"Palaiseau";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;70,67257
"Champlan";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;212,17682
"Villejust";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;308,68603
"Marcoussis";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;89
"Saint-Aubin";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;43,74821
"Gometz-le-Châtel";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;787,24801
"Bures-sur-Yvette";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;180,71206
"Linas";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;8573,65505
"Verrières-le-Buisson";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;18454,61242
"Longjumeau";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;5824,43551
"Gif-sur-Yvette";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;85,21183
"Champlan";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;3341,29834
"Ballainvilliers";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;3
"Bures-sur-Yvette";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2497,51168
"Gif-sur-Yvette";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;373,31629
"Champlan";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;961,60873
"Longjumeau";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;17963,73788
"Gif-sur-Yvette";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;26137,31172
"Épinay-sur-Orge";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;3158,18111
"Bures-sur-Yvette";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;24,02135
"Les Ulis";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;81,10085
"Ballainvilliers";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1
"Nozay";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;3,08864
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;10186,67247
"La Ville-du-Bois";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;24
"Wissous";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;7943,77999
"Les Ulis";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;596,62235
"Villiers-le-Bâcle";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;7
"Saclay";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;5,68213
"Saint-Aubin";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;1290,57225
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;597,00723
"Massy";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2431,71251
"Linas";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;175,0953
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;52,3711
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;5824,06126
"Marcoussis";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;1645
"Igny";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;4211,62986
"Montlhéry";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;25,63373
"Wissous";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1613,73664
"Gif-sur-Yvette";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;4500,8113
"Saulx-les-Chartreux";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;9,06795
"Les Ulis";"Commune";"Résidences principales";"Total";"Appartement";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;29051,24478
"Nozay";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1199,80592
"Gometz-le-Châtel";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;24,24972
"Montlhéry";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1551,3156
"Épinay-sur-Orge";"Commune";"Résidences principales";"Total";"Autres logements de métropole";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;36,50004
"Saclay";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1012,36686
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2016,78131
"Marcoussis";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;11534
"La Ville-du-Bois";"Commune";"Résidences principales";"Total";"Maison";"Total";"Total";"Nombre de pièces";"Total";"Total";"Total";"Total";2011;10044
"Montlhéry";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;260,32341
"Villejust";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;813,80618
"Ballainvilliers";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;18
"Villebon-sur-Yvette";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;4127,43534
"Villejust";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;10,08149
"Vauhallan";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;11,01323
"Igny";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;4161,17635
"Palaiseau";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;763,32495
"Verrières-le-Buisson";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;6083,2018
"Orsay";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;93,79768
"Orsay";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;397,69996
"Gif-sur-Yvette";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;136,57456
"La Ville-du-Bois";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;2599
"Ballainvilliers";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1319
"Saclay";"Commune";"Résidences secondaires et logements occasionnels";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;22,70739
"Nozay";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;49,87651
"Saclay";"Commune";"Résidences principales";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;1217,8707
"Linas";"Commune";"Logements vacants";"Total";"Total";"Total";"Total";"Logements";"Total";"Total";"Total";"Total";2011;162,67703
